Exporter Name,Address,District,State
KERALA DINESH BEEDI WORKERS,"Kerala, India",,Kerala
KERALA HOME FOOD STUFF EXPORT,"Kerala, India",,Kerala
KERALA MINERALS & METALS LTD.,"Kerala, India",,Kerala
KERALA NUT FOOD CO.,"VHPR+QVM, Parameswar Nagar, Kollam, Kerala 691001, India",,Kerala
KERALA REFRACTORY INDUSTRIES,"Vennicode, Kerala 695318, India",,Kerala
KERALA RUBBER & RECLAIMS LTD.,"Kerala, India",,Kerala
KERALA STATE CASHEW WORKERS APEX INDSTL.,"Kerala, India",,Kerala
KERALA STATE CO-OP.RUBBER MKT.FED.LTD.,"Kerala, India",,Kerala
KERALA STATE COIR CORPN.LTD.,"F8WJ+464, CCNB Rd, Market Ward, Alappuzha, Kerala 688001, India",,Kerala
KERALA STATE LITERACY MISSION AUTHORITY,"Pettah, Thiruvananthapuram, Kerala 695024, India",,Kerala
KERALA STATE RUBBER CO-OPERATIVE LTD.,"Rubco House South Bazar, Puzhathi Housing colony, Puzhathi Housing Colony, Kannur, Kerala 670002, India",,Kerala
KERALA SURGICAL EQUIPMENTS CO.,"28X9+FFJ, Salem-Ernakulam Highway, South Kalamassery, Kalamassery, Kochi, Kerala 682039, India",,Kerala
KERALA VILLAGE CRAFTS,"Kerala, India",,Kerala
KERATECH COCONUT OIL,"F3X5+669, Engandiyoor, Kerala 680615, India",,Kerala
KEYISON INTERNATIONAL,"HHWW+576, New Bus stand-Govt.Hospital Rd, Nut Street, Vatakara, Kerala 673101, India",,Kerala
KIKANI INTERNATIONAL,"R2HW+57C, Kondampatty, Tamil Nadu 641202, India",,Tamil Nadu
KINGS MARINE PRODUCTS,"Uliyakovil West, Uliyakovil, Kollam, Kerala 691019, India",,Kerala
KINGSTON INDUSTRIES,"Ottapalam - Cherppulassery Rd, Thrikkadeeri -I, Kerala 679502, India",,Kerala
KLF NIRMAL INDUSTRIES(P)LTD.,"Fr Dismas Rd, near Christ College, Near Christ College, Irinjalakuda, Kerala 680125, India",,Kerala
KNIT HOME GARMENTS,"D.No.666/ 18A, A.D.Colony, North Guruvayurappan Nagar Extn, Poyampalayam Pooluvapatti, post, Vigneshwara Nagar, Poyampalayam, Tiruppur, Tamil Nadu 641602, India",,Tamil Nadu
KNIT INDIA APPARELS,"Sf 256, Saraswathi Garden, Narikadu, Karuvam Palyam, Karuvam Palyam, RVE Nagar, Valliammai Nagar, Tiruppur, Tamil Nadu 641604, India",,Tamil Nadu
KOCHI KICHEN EXPORTS,"ARWA-B-29, Vishwam Nagar, Palluruthy, Kochi, Kerala 682006, India",,Kerala
KODANDARAM ROLLER FLOUR MILLS PVT,"59M9+8X8, Angamaly South, Angamaly, Kerala 683573, India",,Kerala
KOHINOOR FLOORS P.LTD.,"No. 1/511-A, 47, Old NH17, Kundannoor, Maradu, Ernakulam, Kochi, Kerala 682304, India",,Kerala
KORAL INDIANA EXPORTS,"1st Floor, Grand Marketting Centre, Fort Rd, Kannur, Kerala 670001, India",,Kerala
KOTTACKAL AGRO FOODS,"mookkannoor, Angamaly, Mookkannoor, Kerala 683577, India",,Kerala
KOTTACKAL SURGICALS,"Cholayil Tower, Parappur, Main Rd, Kottakkal, Kerala 676503, India",,Kerala
KOTTAKKAL AYUR THERAPIES P.LTD.,"Kottakkal, Kerala, India",,Kerala
KOZHIKODENS AGRO FOODS AND EXPORTERS,"KINFRA FOOD PROCESSING PARK PLOT NO. 13-A & 12-B, Kakkanchery, Kerala 673635, India",,Kerala
KRISHNA FABRICS,"96/A, Palace Rd, Mahal Area, Madurai Main, Madurai, Tamil Nadu 625001, India",,Tamil Nadu
KUMAR CASHEW EXPORTS,"Kakkodu, Punalur, Kerala 691331, India",,Kerala
KURUWA ENTERPRISES,"18/24, Thoppumpady, Kochi, Kerala 682005, India",,Kerala
KUTHIATHODE COIR MATS&MATTING CO-OP.SOCIETY LTD.,"Kuthiathodu, Kodamthuruth, Kerala, India",,Kerala
KUTTANADU COIR&RUBBER PRODUCTS,"Kuttanad, Kuttanad Taluk, Kerala",,Kerala
KUTTUKARAN TRADING VENTURES,"2853+PHQ Kuttukaran Centre, Mamangalam - Anchumana Temple Rd, Sonia Nagar, Edappally, Kochi, Kerala 682025, India",,Kerala
L.G. FASHIONS,"71/3, Kundrathur Main Rd, Madanandapuram, Madhanandapuram, Chennai, Tamil Nadu 600125, India",,Tamil Nadu
LAKSHMI RING TRAVELLERS(CBE.)LTD.,"45Q3+9P2, Mopperipalayam, Tamil Nadu 641659, India",,Tamil Nadu
LAL CASHEW  FACTORY,"PRVH+MV8, Karavaram, Kerala 695102, India",,Kerala
LAMIT CERAMICS,"school padi, Pathapiriyam, Manjeri, Kerala 676123, India",,Kerala
LAWRENCE HANDICRAFTS,"Synagogue Ln, Jew Town, Kappalandimukku, Mattancherry, Kochi, Kerala 682002, India",,Kerala
LE SHARK GLOBAL LLP.,"383F+Q7V, Palladam Main Rd, opposite Park School, Chinnakarai, Tiruppur, Murugampalayam, Tamil Nadu 641605, India",,Tamil Nadu
LEETHA INDUSTRIES,"Industrial Estate, South Kalamassery, Kalamassery, Industrial Estate, South Kalamassery, Kalamassery, Kochi, Kerala 683104, India",,Kerala
LEEWAC MACHINES(INDIA),"No: 34, Vellapan Nagar, Peelamedu, Kuppakonam Pudur, Coimbatore, Tamil Nadu 641004, India",,Tamil Nadu
LEO EXPORTS,"43 C/10, road, Kadambur, Kayathar, Tamil Nadu 628952, India",,Tamil Nadu
LIMTEX (INDIA) LTD.,"1, Pannimadai Rd, Appanaickenpalayam, Coimbatore, Tamil Nadu 641017, India",,Tamil Nadu
LOGOS WELDS PRODUCTS,"7QM6+X9G, Chinniampalayam, Nanjaiuthukuli, Tamil Nadu 638115, India",,Tamil Nadu
LORDS EXPORTS,"CMC-3/79H, Madakkan's Building, North of Manorama Junction, Cherthala, Velorvattom, Alappuzha, Cherthala, Kerala 688524, India",,Kerala
LULU INTERNATIONAL SHOPPING MALL,"34/1000, Old NH 47, Edappally Junction, Nethaji Nagar, Edappally, Kochi, Kerala 682024, India",,Kerala
M.B.AUTO AGENCIES,"Door No.5, Jaya Building, 1129-K, Wayanad Rd, East Nadakkave, Nadakkave, Kozhikode, Kerala 673006, India",,Kerala
M.G.COTTON KNITTED CO.P.LTD.,"MG COTTON COMPANY PVT LTD SF No. 442/2 - B1, 443/2 - B2A, Avinashilingampalayam, Palangarai, Village, Avinashi, Tamil Nadu 641654, India",,Tamil Nadu
M.K.TRADE CENTRE,"Door No:17/425-A5, Golden Tower Building, &, Rajaji Cross Rd, near Indoor Stadium Cross Road, SK Temple, Tazhekkod, Kozhikode, Kerala 673004, India",,Kerala
M.M. EXPORTS,"The Lattice, Old No 7/1, New No 20 2nd and 3rd Floor, Waddels Rd, Kilpauk, Chennai, Tamil Nadu 600010, India",,Tamil Nadu
M.P.M.TEXTILES P.LTD.,"38WP+7F2, Karuvampalayam, Tiruppur, Tamil Nadu 641604, India",,Tamil Nadu
M.R.J.TRADING,"11/85-A, PO, Kollanur, Eravakkad, Kerala 679552, India",,Kerala
M.S.A AUTOMOBILES,"cheruvannur, NH 66, Kozhikode, Kerala 673655, India",,Kerala
M.S.KAARTHIKEYAN GARMENTS,"S.F. No.276, 1C, Ganapathipalayam Rd, Veerapandi, PO, Tiruppur, Tamil Nadu 641605, India",,Tamil Nadu
M.S.M. EXPORTS,"45/18b pillaiyar kovil, south st, Krishnapuram, Tirunelveli, Kadayanallur, Tamil Nadu 627751, India",,Tamil Nadu
M.S.M.SPRMO KNIT WEAR,"no 2 a ak nagar seeyankadu karumarampalayam 641607, Karumarpalayam, Tiruppur, Tamil Nadu 641607, India",,Tamil Nadu
M.S.SPERMO KNIT WEAR,"no 2 a ak nagar seeyankadu karumarampalayam 641607, Karumarpalayam, Tiruppur, Tamil Nadu 641607, India",,Tamil Nadu
M.S.TECH ENGINEERING INDUSTRIES,"Jaihind Nagar Rd, Meprathupady, Vengola, Kerala 683556, India",,Kerala
M.V. JOSEPH & SONS,"Old Market Rd, Angamaly, Kerala 683572, India",,Kerala
M.V.J. FOODS (INDIA) P. LTD.,"HB-07, Panampilly Nagar Ave, Main Avenue, Panampilly Nagar, Ernakulam, Kochi, Kerala 682036, India",,Kerala
M.V.SHOES,"MV SHOES, 10/209, NGGO Colony Road, Near NGGO Colony Gate Bus Stop, NGGO Colony, Thudiyalur, Tamil Nadu 641022, India",,Tamil Nadu
MAAS HOUSE OF HYDRAULICS,"T.C. 43/122(5), MUTTATHARA P.O, Thi, Vallakkadavu, Thiruvananthapuram, Kerala 695008, India",,Kerala
MAGNUM CASUAL INTERNATIONAL,"107/2A1, Poonamallee High Rd, Senneer Kuppam, Chennai, Tamil Nadu 600056, India",,Tamil Nadu
MAHARAJA HOT CHIPS,"Municipal Colony, Q496+CJG, Medical College Rd, Prabha Nagar Extension, Sundram Nagar, Thanjavur, Tamil Nadu 613007, India",,Tamil Nadu
MAHAVISHNU CASHEW FACTORY,"10/326,, Cheerankavu - Puthoor Rd, Kerala 691505, India",,Kerala
MAK PLYWOOD INDUSTRIES PVT LTD,"QV5R+P72, Thalapady JHC, Kinya, Kerala 575023, India",,Kerala
MALABAR EXPORT CORPORATION,"Room No. 546/30, Anchery Complex, Pallikulam Rd, Pallikkulam, Thrissur, Parappur, Kerala 680001, India",,Kerala
MALABAR PICKLES&PRESERVES,"Anappara (H, Randamkadavu, Ayyankunnu, Kerala 670706, India",,Kerala
MALAYA RUB-TECH INDUSTRIES,"38J8+87Q, Edayar, Kerala 683502, India",,Kerala
MALAYALAM EXPORTS,"South Vellarappilly P O, Aluva, Thekkumbhagom, Kerala 683580, India",,Kerala
MALIYAKKAL HANDICRAFTS,"Maliyekkal, Kerala 676525, India",,Kerala
MAMPILLY PLYWOOD INDUSTRIES,"Mudickal Perumbavoor, Ernakulam, Marampally, Kerala 683547, India",,Kerala
MANGALATH ENTERPRISES,"GW67+V24, Poonthi Rd, Aakkulam, Thiruvananthapuram, Kerala 695033, India",,Kerala
MANJU EXPORTS,"44, 50 Feet Rd, Ramkrishnapuram, Karur, Tamil Nadu 639001, India",,Tamil Nadu
MANU TREADS PVT LTD,"Kattoor, Kerala 680702, India",,Kerala
MARJAN EXPORTS,"Jubilee Rd, Pallippuram, Angadipuram, Perintalmanna, Kerala 679322, India",,Kerala
MAROTTIKKAL COIR WORKS,"Cherthala - Arookutty Rd, South, Poochakkal, Kerala 688526, India",,Kerala
MARUDHAR ENTERPRISES,"11, 13th Central Cross St, MKB Nagar, Mahakavi Bharathiyar Nagar West, Mahakavi Bharathi Nagar, Vyasarpadi, Chennai, Tamil Nadu 600039, India",,Tamil Nadu
MARUTHI KNITTERS,"778/5, Pitchampalayam Pudur PN Road P.N, Road, Shrinagar, Raja Nagar, Pitchampalayam Pudur, Tiruppur, Tamil Nadu 641603, India",,Tamil Nadu
MATHA METAL COMBINES,"Konoor, JTS Rd, Koratty, Kerala 680309, India",,Kerala
MATHEWSONS FOOD SPECIALITIES(P)LTD.,"B-32 KINFRA Industries Park, Nellad, Mazhuvannoor, Kerala 686669, India",,Kerala
MATS N MORE,"IV/446A, Valavanadu, Pollathtai P.O, Kalavoor, Alappuzha, Kerala 688522, India",,Kerala
MAXICAN EXPORT,"D.NO 23/9, GANDHI NAGAR SUKKALIYUR, near NAVALADIYAN MARRIAGE HALL, Karur, Karattuppalaiyam, Tamil Nadu 639003, India",,Tamil Nadu
MAYITHARA HOME DECOR P.LTD.,"Mayithara, Cherthala, Kerala, India",,Kerala
MECTECH KNITFABS P.LTD.,"TKT MILL stop, 3/606A, post, opp. to Honda car showroom, Balaji Nagar, AB Nagar, Veerapandi, Tiruppur, Tamil Nadu 641605, India",,Tamil Nadu
MEENAKSHI EXPORTS,"21, S Veli St, South Gate, Periyar, Madurai Main, Madurai, Tamil Nadu 625001, India",,Tamil Nadu
MEGASYS BIOTECK P.LTD.,"Kinfra Koratty Industrial Area Phase I, Koratty, Kerala 680309, India",,Kerala
MEGAWIN SWITCHGEAR,"Narasothipatti, Salem, Tamil Nadu 636004, India",,Tamil Nadu
MEGHDOOT CARGO SERVICES,"24/1290, Voltas Compound, Venkaraman Road, Wdi Wdi, Vathuruthy, Willingdon Island, Kochi, Kerala 680003, India",,Kerala
MEMADATHIL EXPORTERS ,"2M5F+H2J, pulinthanam east-cheempara-mavudy Rd, Pothanicad, Kerala 686671, India",,Kerala
MERWIN GARMENTS,"289/2A, Punniyavathi salai, Vijayapuram pirivu, Kangeyam, main road, Tiruppur, Tamil Nadu 641606, India",,Tamil Nadu
MESSER CUTTING SYSTEMS INDIA  PVT LTD,"No. 199/2AB2, 198/2A2A and 198/2A2B SNMV College, Road, Malumichampatti, Tamil Nadu 641050, India",,Tamil Nadu
META CLASSICS FIBRES,"Varanam ,Puthanangadi, Krishnakripa, Cherthala, Kerala 688524, India",,Kerala
METAL LAND INDUSTRIES,"2C5X+758, Engineering College Road, Kadayirippu, Kerala 682311, India",,Kerala
METALAGE TECHNOLOGIES,"Pullur, Irinjalakuda, Pullur, Kerala 680683, India",,Kerala
METCO INTERNATIONAL,"Rifayath Building, Mini Bypass Rd, Passport Office, Eranhippalam, Kozhikode, Kerala 673006, India",,Kerala
METRO FABRICS,"44 & 46, 50 Feet Rd, Ramkrishnapuram, Karur, Tamil Nadu 639001, India",,Tamil Nadu
METRO PACKAGING,"KINFRA Rd, Nellad, Mazhuvannoor, Kerala 686669, India",,Kerala
MEZHUKATTIL MILLS,"Oil Mill Road, Behind S&S Supermarket, SH 16 Erumathala P O, Chunangamveli Aluva, Aramanakkunnu, Edathala, Kochi, Kerala 683112, India",,Kerala
MIDAS TREADS (INDIA)P.LTD.,"HP9G+9W5, NH183, Vazhoor, Kerala 686504, India",,Kerala
MOBIL AB GLUE WORLD,"ENKE Chambers, Gopala Prabhu Rd, Near MG Road, Shenoys, Kochi, Kerala 682035, India",,Kerala
MOIZE TRADE LINK ,"2-68/B2 Shah Building College Road, Azhagiyamandapam, Tamil Nadu 629167, India",,Tamil Nadu
MONARCH AGENCIES,"Tristen tower, Market Rd, Kombara, Kacheripady, Kochi, Kerala 682018, India",,Kerala
MORE COMPUTERS(KERALA)P.LTD.,"Kerala, India",,Kerala
MORGAN FASHIONS,"Tiruppur, Tamil Nadu 641666, India",,Tamil Nadu
MORNING STAR APPARELS,"6 A, Dharapuram Road, K N P Colony, Pudur Privu, Karatangadu, Tiruppur, Tamil Nadu 641605, India",,Tamil Nadu
MOSONS EXTRACTIONS,"QFVC+FWR, Industrial Estate, Palayad, Thalassery, Kerala 670661, India",,Kerala
MOUNT SAHIYA,"kallungakadavu, channanicadu, GGWW+Q2V P.O, Kottayam, Kerala 686533, India",,Kerala
MOYALAN CERAMICS,"P. B. Nos. 54, Moyalan Ceramics, 68, Ollur Town, Ollur, Thrissur, Kerala 680306, India",,Kerala
MRS GARMENTS,"S.F.NO 135/5, Jeeva Nagar, Murugampalayam Rd, Kamachiamman Nagar, Iduvampalayam, Tiruppur, Murugampalayam, Tamil Nadu 641687, India",,Tamil Nadu
MRT ORGANIC GREEN PRUDCTS,"Azizi Junction, MRT House, Social Welfare Technical School Rd, Aluva, Kerala 683101, India",,Kerala
N.C. JOHN & SONS LTD.,"G8RH+V3F, National Highway 47, Pathirappally, Poomkavu, Alappuzha, Kerala 688521, India",,Kerala
N.J.SPICES,"J3QV+54X, NH 766, Kainatty, Kalpetta, Kerala 673122, India",,Kerala
N.R.EXPORTS,"No. 699/2, R.M Brothers Industrial Complex, Palladam Main Rd, Karuppa Gaundanpalayam, Tiruppur, Tamil Nadu 641604, India",,Tamil Nadu
N.S.CASHEWS,"WJ7X+CF9, Thaha Jct Rd, Peroor, Kerala 691004, India",,Kerala
N.TEX APPAREL PVT LTD,"No 67/1 Mandodhari Garden, East, TIRUPUR 641607, S Periyapalayam, Uthukuli Rd, Tiruppur, Kulathupalayam, Tamil Nadu 638752, India",,Tamil Nadu
N.TEX APPAREL PVT.LTD.,"No 67/1 Mandodhari Garden, East, TIRUPUR 641607, S Periyapalayam, Uthukuli Rd, Tiruppur, Kulathupalayam, Tamil Nadu 638752, India",,Tamil Nadu
NAGARJUNA HERBAL CONCENTRATES LTD.,"VQM7+VRC, Thodupuzha Poomala Road, Alakode, Kerala 685588, India",,Kerala
NAMBIYATTUKUDY AGRO INDUSTRIES,"Koovappady, Koodalapad, Perumbavoor, Koovappady, Kerala 683544, India",,Kerala
NAMBIYATTUKUDY MODERN RICE MILL,"Pavizham Building, Koovappady, Kerala 683544, India",,Kerala
NARENDARAN POLYMERS,"Narendran Polymers, Kalluvathukkal - Chirakkara Rd, Kalluvathukkal, Kerala 691578, India",,Kerala
NARENDRAN RUBBERS,"Narendran Rubbers, P.O, Chandanathope, Kottamkara, Kerala 691014, India",,Kerala
NASS FOOD PRODUCTS,"D.No.212, Santhakottauvr Upparapatti Po, Uthangarai Taluk, Krishnagiri Distrcit, Uthangarai, Tamil Nadu 635207, India",,Tamil Nadu
NATIONAL COIR MILLS,"near, Vazhicherry Rd, Vazhicherry Ward, Sea View Ward, Alappuzha, Kerala 688001, India",,Kerala
NATURAL COIR INDUSTRIES,"S.F.No.108 2A, Road, Vanhiyapuram, Zamin Kottampatti, Tamil Nadu 642001, India",,Tamil Nadu
NATURAL ENVIRO EXPORTS,"Tiny Shed 110, Thiru Vi Ka Industrial Estate, Balaji Nagar, Ekkatuthangal, Guindy, Chennai, Tamil Nadu 600032, India",,Tamil Nadu
NAVAB P.A.,"40/4607C, Basin Rd, Market, Kochi, Kerala 682035, India",,Kerala
NAVAMI EXPORTS,"WJ6W+JPW, Thaha Jct Rd, TKMC.P.O, Peroor, Kollam, Kerala 691004, India",,Kerala
NAVEEN EXIM TRADE ASSOCIATES,"NAVEEN EXIM TRADE ASSOCIATES, 18/1082-D, Manayil, E.S.I ROAD, E.S.I. Rd, Palluruthy, Kochi, Kerala 682006, India",,Kerala
NEDSPICE PROCESSING INDIA PVT LTD,"12/597, Jawahar Rd, Koovapadam, Chullickal, Kochi, Kerala 682002, India",,Kerala
NEELAMALI AGRO INDUSTRIES LTD.,"No.60, Rukmini Lakshmipathy Salai, Egmore, Egmore, Chennai, Tamil Nadu 600008, India",,Tamil Nadu
NEPTUNE KNITTING WORKS,"359,AVINASHI ROAD,BUNGALOW STOP, opp. KANDASWAMY HOSPITAL, Velliyankadu, Tiruppur, Tamil Nadu 641603, India",,Tamil Nadu
NEST APPARELS,"No: 103-A,, Bharathi Nagar 6th St, Olymbus, Rukmani Nagar, Ramanathapuram, Coimbatore, Tamil Nadu 641045, India",,Tamil Nadu
NEW CASTLE GALLERY,"CC 6/704, Bazaar Rd, Mattancherry, Kochi, Kerala 682002, India",,Kerala
NEW LINE EXPORTS,"Avinashi, Tamil Nadu 641654, India",,Tamil Nadu
NEWSUN INNOVATION,"48, 4th St, SNVS Layout, Kongu Nagar, Tiruppur, Tamil Nadu 641607, India",,Tamil Nadu
NIKASU FROZEN FOODS INTERNATIONAL,"23, CSEZ, Kakkanad, Kochi, Kakkanad, Kerala 682030, India",,Kerala
NIKKANS TEXTILE,"Swarnapuri Avenue, 15, Amarjothi Garden, Velampalayam, Tiruppur, Tamil Nadu 641652, India",,Tamil Nadu
NILA EXPORTS,"north, 11, 1st Cross Rd, Ramkrishnapuram, Karur, Tamil Nadu 639001, India",,Tamil Nadu
NILAMEL EXPORTS,"Nilamel, Kerala, India",,Kerala
NILE APPARELS,"4/5, near Cotton Mill Road, Kumarasamy Nagar, Newbusstand, Tiruppur, Tamil Nadu 641602, India",,Tamil Nadu
NIWA AGRO FOODS,"8XP7+XWH, Thazhecode, Kerala 673572, India",,Kerala
NOCHUMANNIL RUBBER INDUSTRIES,"Pongamthanam, Vakathanam, Kerala 686538, India",,Kerala
NPM AQUATIC FISH LINKS P.LTD.,"P48M+C2W, Unnamed Road, Vellatheri, Kerala 680604, India",,Kerala
NSP KNITTING MILLS,"641, 602, PN Rd, MGR Nagar, Samundipuram, Tiruppur, Tamil Nadu 638752, India",,Tamil Nadu
NSP TEX,"3/537, Ring Road, opp. Container Freight Station, Thirumurugan Poondi, Tiruppur, Avinashi, Tamil Nadu 641652, India",,Tamil Nadu
OASIS EXPORTERS,"35/1698, Vallakkadavu, Thiruvananthapuram, Kerala 695008, India",,Kerala
OCEAN WEALTH EXPORTS,"EP 9/92, 93, Lakshan Veedu Rd, Eramalloor, Ezhupunna, Kerala 688537, India",,Kerala
OM SHRI FASHIONS,"S.F. NO, 96, Kasipalayam Rd, Mullai Nagar, Nallur, Tiruppur, Tamil Nadu 641606, India",,Tamil Nadu
OMEGA WELDROD SYSTEMS,"455g, Achankulam Rd, Aachankulam Road, Neelambur, Tamil Nadu 641062, India",,Tamil Nadu
ORIENT SPICE COMPANY,"Industrial Development Plot, Nethaji Road, HG2H+43R, Poovanthuruthu, Kottayam, Kerala 686012, India",,Kerala
ORIENTAL ANTIQURITE TAPISH,"X745+PW4, Synagogue Ln, Jew Town, Kappalandimukku, Mattancherry, Kochi, Kerala 682002, India",,Kerala
ORIGANAL KNIT EXPORTS,"39XX+HF7, Nallur, Tiruppur, Tamil Nadu 641606, India",,Tamil Nadu
OVERSEAS TIMBERS,"29Q4+XG6, Kangarappady, Kochi, Kerala 682021, India",,Kerala
OXO EXPORTS,"NO. 365/2, Nochipalayam Rd, AB Nagar, Veerapandi, Tiruppur, Tamil Nadu 641605, India",,Tamil Nadu
OXY FLOW CONTROLS,"A 46/1, KINFRA Integrated Industrial Park, Kanjikode, Kinfra Textile Park, Kerala 678621, India",,Kerala
P.K.GOVINDAN CO.,"A. S. Road, Kommady, Kaichoondi, Alappuzha, Aryad South, Kerala 688007, India",,Kerala
P.K.P. TEX,"PKP GARDEN, Vengamedu, Mangulam, Tiruppur, Tamil Nadu 641603, India",,Tamil Nadu
P.K.P.N. SPINNING MILLS LTD.,"Sowdapuram, Tamil Nadu 638008, India",,Tamil Nadu
P.R APPARELS,"SF No.20, Kurinji Nagar, Extension 1st St, Sheriff Colony, Eashwarmoorthy Nagar, Naduppangu Thottam, Tiruppur, Tamil Nadu 641604, India",,Tamil Nadu
P.S.G.GARMENTS,"469/1A, Sri Lakshmi Near M.G.R. Nagar, Sirupooluvapatti(p.o), 641603, MGR Nagar, Samundipuram, Tiruppur, Tamil Nadu 641603, India",,Tamil Nadu
P.T.R GARMENTS,"39P9+WXH, KNS Subramaniam Nagar, Tiruppur, Tamil Nadu 641605, India",,Tamil Nadu
P.V.N.INDUSTRIES,"Azhicode, Azhikode South, Kerala 670009, India",,Kerala
PAAPPAI EXPORTS,"paappai exports sf 100 road, Arulpuram, Tiruppur, Tamil Nadu 641605, India",,Tamil Nadu
PALAKKAD SURGICAL INDUSTRIES,"Valiyapadam, Palakkad, Kerala 678005, India",,Kerala
PALM FIBRE(INDIA)P.LTD.,"East of NH, Pathirappally, Aikyabharatham, Alappuzha, Kerala 688521, India",,Kerala
PANACHAMOOTIL EXPORTERS,"Subhash Nagar, Perunthanni, Pazhavangadi, Thiruvananthapuram, Kerala 695024, India",,Kerala
PANDIKKAD TRADERS,"Pandikkad, Kerala 676521, India",,Kerala
PANNIANKARA OIL MILLS,"17/34, Kuttoolangadi - Parammal Rd, Azhinjilam, Ramanattukara, Kozhikode, Kerala 673632, India",,Kerala
PARACKAL AGRO MILLS,"4CXG+Q99, Kanjoor, Kerala 683575, India",,Kerala
PARAS APPARELS,"POPPYS PADDING ROAD, near PRAKASH THEATHRE, Chinnakarai, Tiruppur, Murugampalayam, Tamil Nadu 641605, India",,Tamil Nadu
PARAVOOR ENGINEERS,"N.H 17, Peruvaram Rd, near KALLARAKKAL TEMPLE, North Paravur, Kerala 683513, India",,Kerala
PARAYIL EXPORTS,"Plassanal Pravithanam Rd, Nariyanganam, Kerala 686579, India",,Kerala
PARAYIL FOOD PRODUCTS P.LTD.,"Kochi,, V7PW+8X2, Aroor gram panchayat, Kochi, Kerala 688534, India",,Kerala
PATHI APPARELS,"48MP+RHJ, Shrinagar, Pitchampalayam Pudur, Tiruppur, Tamil Nadu 641603, India",,Tamil Nadu
PEACOCK FAASHIONS,"NO.313/2 15, MANI ROAD PALLAKATTU THOTTAM, Velampalayam, Tiruppur, A.Thirumuruganpoondi, Tamil Nadu 641652, India",,Tamil Nadu
PEARL PACKAGING,"652/1, Sir CV Raman, Post, Industrial Estate, Eachanari, Coimbatore, Tamil Nadu 641021, India",,Tamil Nadu
PEERMADE DEVELOPMENT SOCIETY,"Peermade Development Society, Peermade, Azhutha, Kerala 685531, India",,Kerala
PENTA MAS SERVICES LLP,"W9RF+FRJ, Thiruvankulam - Chottanikkara Rd, Thrippunithura, Thiruvankulam, Kochi, Kerala 682305, India",,Kerala
PEPPER INDIA CORPORATION,"HGQG+4R8, Vellapally Ln, Eerayil Kadavu, Kottayam, Kerala 686004, India",,Kerala
PERLEI TEXTILES P.LTD.,"11/1J14, Thaneer Pandhal Colony, Post, Thaneerpanthal, Anupparpalayam Pudur, Tiruppur, A.Thirumuruganpoondi, Tamil Nadu 641652, India",,Tamil Nadu
PI EXPORTS,"2896+P66, Goundampalayam Rd, Goundampalayam, Tamil Nadu 641664, India",,Tamil Nadu
PINE IMPEX,"23-C, POOLUVAPATTI RING ROAD, ANNA STREET, SRI PATHI NAGAR, 15-VELAMPALAYAM, Velampalayam, Tiruppur, A.Thirumuruganpoondi, Tamil Nadu 641652, India",,Tamil Nadu
PLANTRICH AGRI TECH P.LTD.,"Mini Industrial Estate, Manarcad, Kottayam, Manarcadu, Kerala 686019, India",,Kerala
PLATHOTTAM RUBBERS PVT. LTD,"IV/40-Thadaparambu, Mulagunnathukavu, Killannur, Kerala 680581, India",,Kerala
POABS ENTERPRISES,"Q2R2+3M6, Kollayil, Kerala 695609, India",,Kerala
POBJI EMPORIUM,"Valavanadu, P.O, Kalavoor, Alappuzha, Kerala 688522, India",,Kerala
PONNU FOOD PRODUCTS,"Ailara, Anchal, Kollam, Ayilara, Kerala 691001, India",,Kerala
POOPPALLY COIR MILLS,"AS Road, 688 007, Kommady, Thumpoly, Alappuzha, Aryad South, Kerala 688008, India",,Kerala
POORNIMAS PANCHAKARMA EQUIPMENTS,"Near Primary Health Centre, Koppam, P.O. Vilayur, Palakkad District, Pattambi, Koppam, Kerala 679309, India",,Kerala
POPPYS KNITWEAR,"No.9, M.P.Nagar, 1st St, Appachi Nagar, Kongu Nagar, Extension, Tiruppur, Tamil Nadu 641607, India",,Tamil Nadu
POUNDS APPARELS,"48MM+V46, State Bank Colony, Gandhinagar, Velampalayam, Tiruppur, Tamil Nadu 641603, India",,Tamil Nadu
POYILAKADA FISHERIES,"Poilakada Rd, Asramam, Kollam, Kerala 691001, India",,Kerala
PRABHU SPINNING MILLS P.LTD.,"GWJX+H7M, Rajagopalapuram, Vedasandur, Tamil Nadu 624710, India",,Tamil Nadu
PRAKASH COTEX INDIA LLP,"37B, 3, Sengathurai - Sulur Rd, Sulur, Aiyan Tiruvalluvar Nagar, Tamil Nadu 641402, India",,Tamil Nadu
PRANAV KNIT FASHIONS,"Tirupur sarvodaya sangh Murugampalayam, 38JF+PGR, post, LRG Layout, Iduvampalayam, Tiruppur, Andipalayam, Tamil Nadu 641687, India",,Tamil Nadu
PRASAN SOLUTIONS (INDIA)P.LTD.,"Kinfra Hi-Tech Park Main Rd, HMT Colony, North Kalamassery, HMT Kalamassery, Kochi, Kerala 683503, India",,Kerala
PREMIER COTTON TEXTILES,"Premier Cotton Textiles, Chinnapappanoothu, Udumalaipettai, Sinnapappanuthu, Tamil Nadu 642122, India",,Tamil Nadu
PREMIER EQUIPMENTS,"SIHS Colony, Coimbatore, Tamil Nadu 641033, India",,Tamil Nadu
