Exporter Name,Address,District,State,pin
QUALIMED SYSTEMS,"GW32+P4Q Titanium P.O, Kochuveli Industrial Area, Thiruvananthapuram, Kerala 695021, India",,Kerala,695021
QUALITY MACHINERY SUPPLIES,"213, Ranga Konar St, Anupperpalayam, Ram Nagar, Coimbatore, Tamil Nadu 641009, India",,Tamil Nadu,641009
R.B.R. GARMENTS,"RBR GARMENTS PRIVATE LIMITED, 177/3A1, PACHANKATTUPALAYAM, Arulpuram, Tiruppur, Tamil Nadu 641605, India",,Tamil Nadu,641605
R.F. EXPORTS,"Eramalloor,, Chandiroor, Alappuzha, Kerala 688537, India",,Kerala,688537
R.S.A MARINES,"Old, NH road, Chandiroor, Cherthala, Kerala 688547, India",,Kerala,688547
RAAGAM EXPORTS,"SF No.252, Kangayam Rd, Nallur, Tiruppur, Tamil Nadu 641606, India",,Tamil Nadu,641606
RABITHA EXPORTS,"VI/35, Jew Town, Kappalandimukku, Mattancherry, Kochi, Kerala 682002, India",,Kerala,682002
RAJ EXIM,"No: 3, Balaji Street Bypass Road, M.M.C.Colony, MGM Nagar, Avaniyapuram, Tamil Nadu 12, India",,Tamil Nadu,688524
RAJKUMAR IMPEX P.LTD.,"18/1, Vagaikulam Srivaikuntam Express Rd, Tannuthu, Tamil Nadu 628851, India",,Tamil Nadu,628851
RAJPRIYA EXPORTS,"# 1, 7th St, 1st Street, Kumaranandapuram, Tiruppur, Tamil Nadu 641602, India",,Tamil Nadu,641602
RALISH EXPORTS,"Aathuppalayam, 582F+VQ2, Aathuppalayam, Tiruppur, Tamil Nadu 641652, India",,Tamil Nadu,641652
RAM BAHADUR THAKUR KERALA P. LTD.,"Kerala, India",,Kerala,688534
RAM COIR MILLS,"271/CMC 5, Nedumprakkad, P85X+MC8, Cherthala, Kerala 688524, India",,Kerala,688524
RAMLA MATCH WORKS,"4F2Q+7GR, Vattakattupady, Perumbavoor, Kerala 683542, India",,Kerala,683542
RANGAA FABRICS,"636006, Kanchi Nagar, Seelanaickenpatti, Salem, Tamil Nadu 636006, India",,Tamil Nadu,636006
RANI DRUG HOUSE,"Anandapuram Nellayi Rd, Ponkothra, Kerala 680305, India",,Kerala,680305
RANJINI TEXTILES,"Neerkadavu Beach Rd, Azhikode South, Kerala 670009, India",,Kerala,670009
RATTIKA(GMR)TEXTILES,"30/2A, Nehru Street, Ring Road, Swarnapuri Avenue, Velampalayam, Tiruppur, A.Thirumuruganpoondi, Tamil Nadu 641652, India",,Tamil Nadu,641652
RAY TECHNOSYS,"No. 3/ 33, West, North Chalakudy, Chalakudy, Kerala 680307, India",,Kerala,680307
REAL TEXTILES,"No.45-A, Raakiapalayam road, Kumaran Colony, Ammapalayam, Avinashi, Tamil Nadu 641603, India",,Tamil Nadu,641603
RELISH CUSTOM FOOD,"Beach Road, Valanjavazhy, Kerala 688005, India",,Kerala,688005
RESHMI INDUSTRIES INDIA P.LTD.,"Reshmi Industries, Anna Private Industrial Estate, Bharathi Nagar, Coimbatore, Tamil Nadu 641006, India",,Tamil Nadu,641006
RISHAN APPARELS,"11.098503, 77.355679, Kumarasamy Colony, Tiruppur, Pudhukkadu, Tamil Nadu 641604, India",,Tamil Nadu,641604
ROOSTER TRADERS,"39PM+XQ2, Sanjo Gardens, Kulakkad, Kerala 683112, India",,Kerala,683112
ROOTS IMPEX,"No:6,Ramabiran Colony, Dharapuram Road,, Pudur Privu, Tiruppur, Tamil Nadu 641608, India",,Tamil Nadu,641608
ROYAL BRAND INTERNATIONAL EXPORTERS,"Kodungallur Eriyad Rd, Eriyad, Kerala 680666, India",,Kerala,680666
ROYAL CLASSIC MILLS (P)LTD.,"No . 31, Puliyamarathottam, Mangalam Rd, SR Nagar, Periyandipalayam, Tiruppur, Tamil Nadu 641604, India",,Tamil Nadu,641604
ROYAL FOOD EXPORTERS,"VHGX+VFG, KP Appan Rd, Kilikollore.P.O, Mundakkal Village, Kollam, Kerala 691001, India",,Kerala,691001
ROYAL MARINE EXPORTS,"R8V5+M94, Chandiroor, Kerala 688535, India",,Kerala,688535
RSM AUTOKAST LTD.,"603, Pioneer Complex, C Block, 1075, Avinashi Rd, Coimbatore, Tamil Nadu 641018, India",,Tamil Nadu,641018
RUBEK BALLOONS P.LTD.,"Airapuram, Kerala 683556, India",,Kerala,683556
RURAL COIR INDUSTRIES,"Mattathil Muhamma, Aryakara, Alappuzha, Muhamma, Kerala 688525, India",,Kerala,688525
S.G.GARMENTS,"S F No-707, B/2b, Dharapuram Road, Opposite M P Petrol Bunk, Dharapuram Road, K Chettipalayam, Tiruppur, Tamil Nadu 641608, India",,Tamil Nadu,641608
S.H.MARINE EXIM,"W74W+75F, Aroor Thoppumpady Rd, NH 47, Bakery, Edakochi, Kochi, Kerala 682010, India",,Kerala,682010
S.K.GARMENTS,"Kallampalayam Layout,, 24, 2nd St, Kumarapapuram, Rayapuram, Tiruppur, Tamil Nadu 641687, India",,Tamil Nadu,641687
S.L.S.EXPORTS P.LTD.,"22/1377, Old NH, Edakochi, Kochi, Kerala 682010, India",,Kerala,682010
S.M.FASHION WEAR,"No.608/2 2A, Sivasakthi Nagar, 2nd Cross Near Sevanthampalayam, Muthanampalayam(P.O), Ponmuthu Nagar, Tiruppur, Tamil Nadu 641608, India",,Tamil Nadu,641608
S.M.KNITS,"49X7+6J3, near Majestic Convent, Guruvayurappan Nagar, Poyampalayam, Tiruppur, Tamil Nadu 641603, India",,Tamil Nadu,641603
S.M.R.EXPORTS,"54-A 2nd Floor JV Compound, Gandhi Rd, Anupparpalayam Pudur, Tiruppur, A.Thirumuruganpoondi, Tamil Nadu 641652, India",,Tamil Nadu,641652
S.P.L.TEXTILES,"73/a molan thottam, Velampalayam, A.Thirumuruganpoondi, Tamil Nadu 641652, India",,Tamil Nadu,641652
S.P.V.DESIGNS,"G8CJ+JX3, Thalavady, Thiruvilak, Vyasapuram, Alappuzha, Aryad South, Kerala 688008, India",,Kerala,688008
S.R.EXPORTS,"42 Lakshmipuram, 1st Floor, 4th St, Madurai, Tamil Nadu 625001, India",,Tamil Nadu,625001
S.S.APPARELS,"13/16, Thirumalai Nagar South 2nd Street, MGR NAGAR 3RD St, Tirumalai, Off, Tiruppur, Tamil Nadu 641602, India",,Tamil Nadu,641602
S.S.METALS,"Sai Buildings, Convent Road, T.D. Road, Convent Junction, Near Laboratory Junction, Shenoys, Kochi, Kerala 682011, India",,Kerala,682011
SAAZ INTERNAIONAL,"9/6-a, Vinayagapuram, I Street, Rayapuram Extension, Rayapuram, Tiruppur, Tamil Nadu 641601, India",,Tamil Nadu,641601
SABARE INTERNATIONAL,"14, 4th Cross Rd, Kamarajapuram, Karur, Tamil Nadu 639002, India",,Tamil Nadu,639002
SABEEBA TRADERS,"No.39, 84, Malayaperumal Street, Parrys, George Town, Chennai, Tamil Nadu 600001, India",,Tamil Nadu,600001
SAFAR RUBBERS,"5VHR+J8C, Neelangoth, Kerala 673637, India",,Kerala,673637
SAFERA FOOD INTERNATIONAL,"V7P6+FFH, SH66, Cheriakadavu, Kannamaly, Chellanam, Kochi, Kerala 682008, India",,Kerala,682008
SAI AGRO PRODUCTS,"Unnamed Road, H325+W9V, Tamil Nadu 637501, India",,Tamil Nadu,637501
SAIDA TRADING COMPANY,"WJ7W+J26, Peroor, Kottamkara, Kerala 691005, India",,Kerala,691005
SAIT EXIM CO.,"Vikas Rd, Karuvelipady, Thoppumpady, Kochi, Kerala 682002, India",,Kerala,682002
SAKTHI POLYMERS,"no 378, 2nd St Ext, 2nd Street Extension, Gandhipuram, Coimbatore, Tamil Nadu 641012, India",,Tamil Nadu,641012
SALFA CHEMICALS,"Binanipuram, Edayar, Dubai, Kerala 683502, India",,Kerala,683502
SALORAA FABS,"Shed no.14 & 15, TEKIC, Tea nagar, Mudalipalayam SIDCO Rd, Tiruppur, Tamil Nadu 641606, India",,Tamil Nadu,641606
SALWA EXPORTS,"Perinjanam, Kaipamangalam, Moonnupeedika, Kerala 680686, India",,Kerala,680686
SAMEX AGENCY,"2944+V2F, Amaravathi Nagar, Bodinayakanur, Meenakshipuram, Tamil Nadu 625513, India",,Tamil Nadu,625513
SAMRAT MIDDLE EAST EXPORTS P. LTD.,"W7M8+3R3, Thoppumpady, Kochi, Kerala 682005, India",,Kerala,682005
SAMUDRA SHIPYARD P.LTD.,"Aroor gram panchayat, Kochi, Kerala 688534, India",,Kerala,688534
SAN MARINE EXPORTS,"Sakthikulangara North, Kollam, Kerala 691581, India",,Kerala,691581
SANGEETHA PATTERN WORKS,"32CP+VCQ, Sharp Nagar, Nehru Nagar West, Coimbatore, Tamil Nadu 641048, India",,Tamil Nadu,641048
SANTHIGIRI ASHRAM,"Ettumanoor, Kerala 686631, India",,Kerala,686631
SARASWATHI METAL WORKS,"Pallichal Rd, parry junction, Thoppumpady, Kochi, Kerala 682005, India",,Kerala,682005
SARK SPICE PRODUCTS P. LTD.,"Neelamperoor - Kavalam Rd, Kavalam, Eara, Kerala 686534, India",,Kerala,686534
SARKAS GARMENTS COMPANY,"6, Thennampalayam Extension, Iind Street, Lind Street, Near TamilNadu Theatre, KPN Colony, Karuvampalayam, Tiruppur, Tamil Nadu 641604, India",,Tamil Nadu,641604
SCHOLAR KNIT FASHIONS,"Chinnakarai, Tiruppur, Murugampalayam, Tamil Nadu 641604, India",,Tamil Nadu,641604
SCHUMAK EQUIPMENT (I)P.LTD.,"7/44, 1st St, industrial estate, Kanuvai, Coimbatore, Tamil Nadu 641108, India",,Tamil Nadu,641108
SEASON COIR EXPORTS,"CHINGOLI, P.O,KARTHIKAPALLY, Haripad, Karthikapally, Kerala 690532, India",,Kerala,690532
SENOK EQUIPMENTS,"No.62, Krishnammal Street, KK Pudur, Kuppakonam Pudur, Coimbatore, Tamil Nadu 641038, India",,Tamil Nadu,641038
SENTHIL PAPAIN & FOOD PRODUCT PVT LTD,"107-A, Senguptha Street, Ram Nagar, Annapoorna Layout, Coimbatore, Tamil Nadu 641009, India",,Tamil Nadu,641009
SEPACK INDIA PVT LTD,"XII/293, Off, Chithrappuzha-Ponjassery Rd, Kizhakkambalam, Ernakulam, Kerala 683562, India",,Kerala,683562
SESHA EXPORTS,"8 3238 C, 8/3238B, 2nd St, Anna Nagar, Tiruppur, Tamil Nadu 641603, India",,Tamil Nadu,641603
SEVANA PACKING,"Kizhakkambalam, Kochi, Kerala 680562, India",,Kerala,680562
SEVEN HILLS FASHIONS,"59G2+C3F, Kaalampalayam, Tiruppur, Tamil Nadu 641666, India",,Tamil Nadu,641666
SHA APPARELS,"37, 60 Feet Rd, Kumarnathapuram, Tiruppur, Tamil Nadu 641602, India",,Tamil Nadu,641602
SHAJI MOULDS AND PRODUCTS,"275/D1, KURUMBAN THOTTAM, 11 TH STREET, Sanganoor Rd, Ganapathy, Coimbatore, Tamil Nadu 641006, India",,Tamil Nadu,641006
SHAKTHI KNITTING P. LTD.,"3/606-C, Shakthi Centre Post, Nochipalayam Rd, Veerapandi, Tiruppur, Tamil Nadu 641605, India",,Tamil Nadu,641605
SHAMA EXPORTS & IMPORTS,"KINFRA Parks, Menamkulam, Kazhakuttom, HV26+R53, Pallithura, Thiruvananthapuram, Kerala 695586, India",,Kerala,695586
SHAMA EXPORTS P.LTD.,"KINFRA Parks, Menamkulam, Kazhakuttom, HV26+R53, Pallithura, Thiruvananthapuram, Kerala 695586, India",,Kerala,695586
SHARAFIYA TRADING,"Eriyad, Porur, Kerala 679328, India",,Kerala,679328
SHARO EXPORTS,"Door No. FC, Plot No: 50, Justice Rathinavel Pandian Rd, Golden George Nagar, Mogappair East, Chennai, Tamil Nadu 600050, India",,Tamil Nadu,600050
SHARON INSUL INDIA LTD.,"Kakkanad, 7/838(B, Seaport - Airport Rd, Vidya Nagar Colony, Thrikkakara, Kochi, Kerala 682021, India",,Kerala,682021
SHARP KNIT FASHIONS,"No 12, Netaji Nagar, Karumarampalayam Road, 2nd Street Extension, Karumarpalayam, Mannarai, Tiruppur, Tamil Nadu 641607, India",,Tamil Nadu,641607
SHERATONE ANTIQARTS,"Door number VI, 26, Jew Town Rd, Jew Town, Kappalandimukku, Mattancherry, Kochi, Kerala 682002, India",,Kerala,682002
SHERTALLAI COIR MATS & MATTING CO.,"Cherthala, Kerala, India",,Kerala,682024
SHINY KNITWEAR,"24, Appachi Nagar Main Road, Appachi Nagar, Kongu Nagar, Tiruppur, Tamil Nadu 641607, India",,Tamil Nadu,641607
SHREE A.R.S.KNITS,"Mahavishnu Nagar, Pitchampalayam Pudur, Tiruppur, Tamil Nadu 641603, India",,Tamil Nadu,641603
SHRI SHAKTHI ASSOCIATES,"163/A, Thiruvenkatasamy Rd W, R.S. Puram, Coimbatore, Tamil Nadu 641002, India",,Tamil Nadu,641002
SHRI SUBAM TEX,"SF No: 540/2, Ring Road, opp. Anbu Illam, Thirumurugan Poondi, A.Thirumuruganpoondi, Avinashi, Tamil Nadu 641652, India",,Tamil Nadu,641652
SIEGER SPINTECH EQUIPMENTS P.LTD.,"SF No. 49 Annur Road,, Arasur Post,, Coimbatore, Tamil Nadu 641107, India",,Tamil Nadu,641107
SILVER STAR SEAFOODS LTD.,"V834+2GJ, Chandiroor, Kerala 688535, India",,Kerala,688535
SINICON CONTROLS P. LTD.,"Sinicon House"" , XVII/906, IDA, West, Kanjikode, Pudussery Central, Kerala 678623, India",,Kerala,678623
SIPCO CURIO,"6/207, AB Salem Rd, Jew Town, Kappalandimukku, Mattancherry, Kochi, Kerala 682002, India",,Kerala,682002
SIVA APPARELS,"49Q7+MJQ, Nallathupalayam, Tiruppur, Tamil Nadu 641666, India",,Tamil Nadu,641666
SIVA EXPORTS,"14, South St, Anuppanadi, Madurai, Tamil Nadu 625009, India",,Tamil Nadu,625009
SIVADAS TEXTILES,"FXCJ+788, Kaimanam, Pappanamcode, Thiruvananthapuram, Kerala 695018, India",,Kerala,695018
SKL EXPORTS,"SF. No. 396/2E, 295/1C, Post, Mahavishnu Nagar, Angeripalayam, Tiruppur, Tamil Nadu 641603, India",,Tamil Nadu,641603
SKYWALK EXPORTS,"71,PVG NAGAR, Samundipuram Main Rd, near HP Petrol Bunk, Valayankadu South, P V C Nagar, M.N.Sivasubramanian Nagar, Tiruppur, Tamil Nadu 641603, India",,Tamil Nadu,641603
SMARTO PRODUCTS,"Perumanoor P.K.Road, Chacola Colony, Thevara, Kochi, Kerala 682015, India",,Kerala,682015
SNEGAM EXPORTS,"39R6+RQW, Pudur Rd, MR Nagar, K N P Colony, Pudur Privu, Tiruppur, Tamil Nadu 641605, India",,Tamil Nadu,641605
SONA EXPORTERS,"P2MW+H75, Changaramkulam, Kerala 679591, India",Chiyanoor,Kerala,679591
SOND KNIT GARMENTS,"02, Thabadar Thottam, Bharathi Nagar, Bharathi Nagar, KPN Colony, Valipalayam, Tiruppur, Tamil Nadu 641652, India",,Tamil Nadu,641652
SONEX METAL COMBINES,"69VC+WV9, Service Rd, Naipunnya Nagar, Pongam, Kizhakkummuri, Angamaly, Kerala 680308, India",,Kerala,680308
SOUMYA PLASTICS,"Ollur Industrial Estate, Ollur, Thrissur, Kerala 680306, India",,Kerala,680306
SOUPARNIKA EXPORT ENTERPRISES,"Decent Jun, Palathara, Kollam, Kerala 691577, India",,Kerala,691577
SOUTH KERALA CASHEW EXPORTERS,"A-20, Mangadu Rd, Mangad, Kollam, Kerala 691015, India",,Kerala,691015
SOUTHERN CARBON AND CHEMICALS,"Vyloppilly Ln, Azad Road, Kaloor, Ernakulam, Kerala 682017, Kathrikadavu, Kaloor, Ernakulam, Kochi, Kerala 682017, India",,Kerala,682017
SOUTHERN CASHEW EXPORTERS,"WJFQ+R27, Kilikkollur, Chandanathope, Kottamkara, Kerala 691004, India",,Kerala,691004
SOUTHERN COIR MILLS,"P.O. Cherthala, S.N.Puram, Cherthala, Kanjikkuzhi, Kerala 688582, India",,Kerala,688582
SPECTRA ORGANICS,"1572, S Thamaraparambu Rd, Thamaraparambu, Fort Kochi, Kochi, Kerala 682001, India",,Kerala,682001
"SREE GANAPATH GAR,MENTS","26-B President Thottam Thottipalayam Pirivu, Civil Aerodrome Post, Karuparampalayam Pirvu, Coimbatore, Tamil Nadu 641014, India",,Tamil Nadu,641014
SREE SAKTHI PAPER MILLS,"X78M+P3P, Paliyam Rd, Pallimukku, Ernakulam, Kochi, Kerala 682016, India",,Kerala,682016
SREE SANKARA AYURVEDA VAIDYASALA,"Mannam Rd, Changanassery, Kerala 686102, India",,Kerala,686102
SREE VALSA ENGINEERING WORKS,"36, Nanda Nagar Road, Singalluar, Singalluar, Coimbatore, Tamil Nadu 641005, India",,Tamil Nadu,641005
SREEKANDHA WEAVING WORKS,"W942+CJF, Chirakkal, Kerala 670009, India",,Kerala,670009
SRI ANURAGAVI GARMENTS,"48QM+8X9, Unnamed Road, Mahavishnu Nagar, Pitchampalayam Pudur, Tiruppur, Tamil Nadu 641603, India",,Tamil Nadu,641603
SRI GARMENTS,"95, A, 8, Angeripalayam Main Rd, Mahavishnu Nagar, Pitchampalayam Pudur, Tiruppur, Tamil Nadu 641603, India",,Tamil Nadu,641603
SRI KUMARAN FABS,"97A1, AMMAPALAYAM PIRIVU, Mangalam Rd, Palladam, Tamil Nadu 641664, India",,Tamil Nadu,641664
SRI MURUGAN FOUNDRY EQUIPMENT,"12/3, Luna Nagar, Abbas Garden,, India, Edayarpalayam, Coimbatore, Tamil Nadu 641025, India",,Tamil Nadu,641025
SRI RAMA MODERN RICE MILL,"Keranur, Chinnasalem, Tamil Nadu 606201, India",,Tamil Nadu,606201
SRI SARAVANAA FABS,"22XP+PHF, NGP Nagar, Nehru Nagar West, Coimbatore, Tamil Nadu 641014, India",,Tamil Nadu,641014
SRI SRI CLOTHING,"56PW+C93, Sembianallur, Avinashi, Tamil Nadu 641654, India",,Tamil Nadu,641654
SRI VAARI EXPORTS,"A.P 1702, 15th West Cross St, MKB Nagar, Mahakavi Bharathiyar Nagar West, Mahakavi Bharathi Nagar, Vyasarpadi, Chennai, Tamil Nadu 600039, India",,Tamil Nadu,600039
SRISTI GARMENTS,"Ring Road Housing Sector, Madhavaram, Chennai, Tamil Nadu 600060, India",,Tamil Nadu,600060
SSV EXPORTS,"First Floor Plot, 156, Madambakkam Main Rd, Maruthi Nagar, Madambakkam, Chennai, Tamil Nadu 600126, India",,Tamil Nadu,600126
ST.GEORGE FOODS,"2PX7+7GC, Puthoor, Kerala 691507, India",,Kerala,691507
ST.GREGORIOS CASHEW INDUSTRIES,"2PQ6+2JG, Thekkumpuram Puthoor PO Kottarakara, Puthoor, Kerala 691507, India",,Kerala,691507
ST.JOSEPH'S PRESS,"415, Cotton Hill Rd, Cotton Hill, Vazhuthacaud, Thiruvananthapuram, Kerala 695014, India",,Kerala,695014
ST.MARY'S CASHEW FACTORY,"St.Mary's Cashew Factory, Kottarakkara Sasthamcotta Rd, Puthoor, Kerala 691507, India",,Kerala,691507
ST.MARYS RUBBERS P.LTD.,"2X3J+7GF, Kollam - Tenkasi Rd, Edamon Sathram, Edamon, Kerala 691307, India",,Kerala,691307
ST.MIKHAEL CASHEW EXPORTS,"WP95+FRF, Nallila Rd, Puliyila, Kerala 691515, India",,Kerala,691515
STANDARD CURLED COIR,"sf 254, main road ,kovilpalayam post, Mettupalayam, Kovilpalayam, Tamil Nadu 642110, India",,Tamil Nadu,642110
STANES AMALGAMATED ESTATES LTD.,"C/o T.Stanes & Company Limited, 1625, Trichy Rd, Mamarath Thottom Ganapathy, Race Course, Coimbatore, Tamil Nadu 641018, India",,Tamil Nadu,641018
STANFAB APPARELS,"14, East, Anna Nagar W Ext Rd, Mogappair Industrial Estate, Padi Pudur Nagar, Anna Nagar West, Mogappair East, Chennai, Tamil Nadu 600037, India",,Tamil Nadu,600037
STARFISH EXPORTS,"Ancy Nagar, South Kollamcode, Pozhiyoor, Kerala 695513, India",,Kerala,695513
STARLINE ENTERPRISES,"Krithika, Sri Sai Building, Industrial Est Rd, Seerapalayam, Tamil Nadu 641105, India",,Tamil Nadu,641105
STOWA GARMENTS,"1/563-H srinivasa nagar kallangadu 1 st street, Velliangadu, Thennampalayam, Tiruppur, Tamil Nadu 641604, India",,Tamil Nadu,641604
SUDAR APPARELS,"No 32, Dharapuram Main Rd, K Chettipalayam, Tiruppur, Tamil Nadu 641604, India",,Tamil Nadu,641604
SUDHAMA HOSIERIES,"No-5, Sixty Feet Road, Asher Nagar, Tirupur - 641603, Avinashi - Tiruppur Rd, Asher Nagar, Tiruppur, Tamil Nadu 641603, India",,Tamil Nadu,641603
SUITMAN GARMENTS,"383G+HXF, Kairali Nagar, South Kalamassery, HMT Kalamassery, Kochi, Kerala 682022, India",,Kerala,682022
SUKAS PAPER PRODUCTS,"2, Mullurkara, Kerala 680590, India",,Kerala,680590
SULOCHANA COTTON MILLS,"3WQQ+FG7, NH-67, NGGO Colony, Thudiyalur, Tamil Nadu 641022, India",,Tamil Nadu,641022
SUMANGALI FABRICS,"RCVC+2G4, po, Thottada, Kerala 670007, India",,Kerala,670007
SUN BIO NATURALS(I)P.LTD.,"Super A7, Thiru Vi Ka Industrial Estate, SIDCO Industrial Estate, Guindy, Chennai, Tamil Nadu 600032, India",,Tamil Nadu,600032
SUNKO SPICES,"J527+X27, Unnamed Road, Anjur, Kerala 680601, India",,Kerala,680601
SUNRICE TRADERS,"Pandit Karuppan Rd, Mattummal Junction, Mattummal, Thevara, Kochi, Kerala 682013, India",,Kerala,682013
SUNRISE KNITTING MILLS,"D1 & D2, Nethaji Apparel Park, Eettiveerampalayam, New, Sirupooluvapatti, Khaderpet, Rayapuram, Tiruppur, Tamil Nadu 641666, India",,Tamil Nadu,641666
SUPER COCO COMPANY,"J4FH+H6X, Kundalapatti Erisanampatti Rd, Kedimedu, Tamil Nadu 642107, India",,Tamil Nadu,642107
SUPER SPINNING MILLS LTD.,"Elgi Towers, Green Fields, 737 D, Puliakulam Rd, Dhamu Nagar, Coimbatore, Tamil Nadu 641045, India",,Tamil Nadu,641045
SUPERIOR MAT HOUSE,"5FF3+V99, Mekalady, Kalady, Kerala 683574, India",,Kerala,683574
SUREKHA EXPORTS,"3rd Floor, Emerald Mall, Mavoor Rd, Arayidathupalam, Kozhikode, Kerala 673001, India",,Kerala,673001
SWARAJ FASHIONS,"S.F.No.341, Thilagar Nagar west, Anupparpalayam,, 15.Velampalayam,, Velampalayam, Tiruppur, A.Thirumuruganpoondi, Tamil Nadu 641652, India",,Tamil Nadu,641652
SWARNA KALEESWARA KNITTING,"26, Harvey Rd, PSS Colony, Sidco Industrial Estate, Tiruppur, Tamil Nadu 641602, India",,Tamil Nadu,641602
SWATHIKA TEXTILE MILLS P.LTD.,"# 33/16 3 rd Street, Padmavathi Puram , Gandhi Nagar, Jain Nagar, Chromepet, Tirupur, Chennai, Tamil Nadu 641603, India",,Tamil Nadu,641603
SYDA POLYLAMINATES,"3rd Floor, Syda Building,Kochi, Kaloor - Kadavanthara Rd, Kaloor, Ernakulam, Kochi, Kerala 682017, India",,Kerala,682017
SYDNEY APPARELS,"Sirupooluvapatti, Tiruppur, Tamil Nadu 641687, India",,Tamil Nadu,641687
SYMPHONY EXPORTS,"38WW+JFF, Kamatchi Amman, Tiruppur, Tamil Nadu 641604, India",,Tamil Nadu,641604
SYNTHESIS HOME TEXTILES P.LTD.,"69 - 74, Salem Bypass Rd, SIDCO Industrial Estate, Karur, Tamil Nadu 639006, India",,Tamil Nadu,639006
T.G.POLYMERS&COMPANY,"Aryakara, Muhamma, Kerala 688525, India",,Kerala,688525
T.J.P. RUBBER INDUSTRIES,"Industrial Development Plot, PO, Poovanthuruthu, Kottayam, Kerala 686012, India",,Kerala,686012
T.J.P.EXPORTS,"ID Plot, Poovanthuruthu, Kottayam, Kerala 686012, India",,Kerala,686012
T.K.MACHINERIES,"Ollur, Thrissur, Kerala 680014, India",,Kerala,680014
T.V.J MARKETING,"FIRST FLOOR, TVJ ESTATE, 1516E NHG LANE, LPS Rd, Ponnurunni, Vyttila, Kochi, Kerala 682019, India",,Kerala,682019
TAG CHEMICALS INDIA PVT LTD.,"Kinfra Biotechnology And Industrial Zone, Medical College - NAD Road, HMT Colony, North Kalamassery, Kalamassery, Kalamassery, Kochi, Kochi, Kerala 683503, India",,Kerala,683503
TAJ COIR MILLS,"Thalavady Rd, Thalavady, Aikyabharatham, Alappuzha, Aryad South, Kerala 688006, India",,Kerala,688006
TAJ PLYWOODS,"3GHV+626, Methala, Rayamangalam, Kerala 683545, India",,Kerala,683545
TALASH PLASTOPACKS,"Swaraj Plywood Road, Pappinisseri, Kerala 670561, India",,Kerala,670561
TAMILNADU NEWSPRINT & PAPERS LTD.,"Tamil Nadu, India",,Tamil Nadu,688534
TASTY NUT INDUSTRIES,"KP Road, WJ5C+95H, Kilikolloor, Mangad, Kollam, Kerala 691004, India",,Kerala,691004
TAURUS RUBBER INDUSTRIES,"HG2G+QPW, Unnamed Road, Poovanthuruthu, Kerala 686012, India",,Kerala,686012
TEA BREAK INTERNATIONAL,"X759+6R8, Willingdon Island, Kochi, Kerala 682003, India",,Kerala,682003
TEAM SPORT CLOTHINGS,"Erukkadu Thottam, Nochipalayam Road, Veerapandi, 383W+WJ2, Veerapandi, Tiruppur, Tamil Nadu 641605, India",,Tamil Nadu,641605
TECHNO EXPORTS,"Pattanakad, P.O, Cherthala, Pattanakkad, Kerala 688531, India",,Kerala,688531
TECHNOFLEX RUBBER PRODUCTS,"59RJ+3WP, Unnamed Road, Angamaly, Kerala 683572, India",,Kerala,683572
TECMO INDUSTRIES,"2, 200 Karayampalayam, GEM Nagar, Mylampatti, Tamil Nadu 641062, India",,Tamil Nadu,641062
TEREX INDIA PVT.LTD,"E-18, Phase II, Sipcot Expansion II, Moranapalli, Sipcot Phase II Industrial Complex, Sipcot Ph 2, Hosur, Moranapalli, Tamil Nadu 635109, India",,Tamil Nadu,635109
TEX INDIA APPARELS,"S.F.NO135/5 JEEVA NAGAR, Murugampalayam Rd, Kamachiamman Nagar, Iduvampalayam, Tiruppur, Murugampalayam, Tamil Nadu 641687, India",,Tamil Nadu,641687
TEXCITY APPARELS,"post, S.F.403, Aathupalayam Main Rd, Anupparpalayam Pudur, Tiruppur, Tamil Nadu 641652, India",,Tamil Nadu,641652
TEXCO APPARELS,"AVP Rd, Periyar Colony, Anupparpalayam Pudur, Tiruppur, Tamil Nadu 641652, India",,Tamil Nadu,641652
THAHIRA CHEMICALS,"V7QW+9J8, Aroor gram panchayat, Kochi, Kerala 688534, India",,Kerala,688534
THANGAMMAN FASHIONS,"No-5/3, Prabhu Nagar, Rakkiyapalayam Pirivu Kangayam Road, Nallur, S I D C O, S I D C O, Cheran Nagar, Valliammai Nagar, Tiruppur, Tamil Nadu 641606, India",,Tamil Nadu,641606
THANKS GARMENTS,"2, Bridgeway Colony Extension, Main Road, Main Road, KPN Colony, Valipalayam, Tiruppur, Tamil Nadu 641607, India",,Tamil Nadu,641607
THIASHOLA PLANTATIONS P.LTD.,"Thaishola, Tamil Nadu 643209, India",,Tamil Nadu,643209
THREE STAR MARINE EXPORTS,"R8P3+PJM Aroor gram panchayat, Chandiroor, Kochi, Kerala 688534, India",,Kerala,688534
TIMELESS TEXTILES TRADERS,"X11, Bld, 510, Poyyoor Road, Mayyil, Kerala 670602, India",,Kerala,670602
TIRUPUR PANDIT HOSIERY MILLS,"S.F. No. 647-B, Cherangadu, K.N.P. Colony Post, Dharapuram Main Rd, Thillai Nagar, Tiruppur, Tamil Nadu 641608, India",,Tamil Nadu,641608
TOM KNITTERS,"39M4+HW3, 60 Feet Rd, Gopal Nagar, Velliangadu, Tiruppur, Tamil Nadu 641605, India",,Tamil Nadu,641605
TONY WOOD INDUSTRIES,"Kaviyoor, Kerala 689582, India",,Kerala,689582
